,Molecule ID,Mean Error,Mean Absolute Error,Root Mean Squared Error
0,SAMPL8-1,7.316666666666623,11.845000000000033,19.247965693374805
1,SAMPL8-2,1.7899999999999245,2.5966666666666343,3.382420238034644
2,SAMPL8-3,1.0666666666665954,1.633333333333305,1.937352144896008
3,SAMPL8-4,-0.6366666666667378,2.656666666666682,3.0617369797768976
4,SAMPL8-5,0.696666666666597,1.2766666666666397,1.6862384173063683
5,SAMPL8-6,-0.103333333333401,0.8233333333333531,1.030970416646378
6,SAMPL8-7,6.2866666666666005,7.5399999999999805,13.841973606871715
7,SAMPL8-8,0.08666666666660339,1.7666666666666604,1.9269319309894237
8,SAMPL8-9,5.436666666666606,6.410000000000035,13.882917560801118
9,SAMPL8-10,-0.7433333333334113,1.4366666666666885,1.615992986783493
10,SAMPL8-12,10.486666666666617,12.033333333333355,19.109571772630947
11,SAMPL8-14,-2.4700000000000526,3.5899999999999963,4.438945069871143
12,SAMPL8-15,0.5933333333332689,1.9333333333333265,2.2466864489732186
13,SAMPL8-16,0.09999999999992859,1.600000000000018,1.8565200420858992
14,SAMPL8-17,4.61999999999994,6.760000000000034,13.713414357239172
15,SAMPL8-18,6.229999999999947,7.516666666666673,15.29374817804103
16,SAMPL8-19,0.5316666666665903,1.7816666666666592,2.453874487417779
17,SAMPL8-20,0.30999999999993727,1.8966666666666805,2.2357549060663886
18,SAMPL8-21,11.536666666666617,12.350000000000021,20.024220334385053
19,SAMPL8-22,13.173333333333288,14.013333333333328,21.332422897239464
20,SAMPL8-23,0.5566666666665908,1.2049999999999816,1.6939942935755603
