,Submission,R-squared,Slope,Kendall Tau
0,pKa-RobertRaddi_AdaBoost_modified,0.1849652160173817,0.23650690060555335,0.08654246229949733
1,pKa_SabatinoRodriguezPaluch_uESE_modified,0.7593999321474395,1.4336951833570397,0.5747825301801925
2,pKa-ZhiyiWu-1_modified,0.6349310007636355,0.9417293814115111,0.49559462778335206
3,pKa-3DS-1_modified,0.7834943477469948,1.0137866774745936,0.6083798799280435
4,PKA_ECRISM_modified,0.8477227975324197,1.1469468690328275,0.6423400443695945
5,pKa-RobertRaddi_XGBoost_modified,0.2895639194617352,0.3561270357559145,0.19138975058773822
6,pKa_SabatinoRodriguezPaluch_uESE_extra_modified,0.6422746474157303,1.6417529142315437,0.5236363636363636
7,pKa_Chemaxon_modified,0.9111362089433779,0.8803845793419904,0.7505363800876091
8,pKa-3DS-3_modified,0.7552485515279517,0.9351327184830505,0.5865219201701498
9,pKa-3DS-2_modified,0.7536231507883856,1.1538261805405876,0.5839454948814495
10,pKa-RobertRaddi_DeepGP_modified,0.42369356955346027,0.5467861156286408,0.23190841426097938
11,pKa-RobertRaddi_RF_modified,0.23723923343998166,0.27083667785773513,0.17225077552896437
