,Molecule ID,Mean Error,Mean Absolute Error,Root Mean Squared Error
0,SAMPL8-1,9.504166666666622,12.779166666666697,20.525265325122273
1,SAMPL8-2,1.2316666666665932,2.188333333333303,2.86637401606974
2,SAMPL8-3,0.7249999999999299,1.391666666666639,1.7066048165875667
3,SAMPL8-4,-0.9116666666667368,2.8100000000000267,3.146993274010405
4,SAMPL8-5,-0.45333333333339887,2.053333333333337,2.512846990964634
5,SAMPL8-6,-1.1783333333333972,1.8150000000000162,2.4040036050999287
6,SAMPL8-7,11.878333333333275,12.504999999999967,19.36260743460618
7,SAMPL8-8,0.7283333333332679,1.7316666666666396,1.8707128765971943
8,SAMPL8-9,11.44499999999995,11.961666666666678,19.60849900765822
9,SAMPL8-10,-0.5850000000000786,1.326666666666675,1.5239531926320478
10,SAMPL8-12,16.511666666666624,17.284999999999997,23.37710917400467
11,SAMPL8-14,-3.428333333333373,4.448333333333317,5.276131790115427
12,SAMPL8-15,1.4183333333332657,2.3283333333333043,2.5885839114593994
13,SAMPL8-16,0.5999999999999268,1.5999999999999825,1.7781076082921863
14,SAMPL8-17,10.661666666666617,11.961666666666678,19.327620132856506
15,SAMPL8-18,12.71333333333329,13.54333333333333,21.575048860508595
16,SAMPL8-19,0.439999999999924,1.6641666666666544,2.2484068433744877
17,SAMPL8-20,1.643333333333266,2.643333333333314,3.148322304550959
18,SAMPL8-21,17.703333333333294,18.11,24.515425076197772
19,SAMPL8-22,19.106666666666634,19.52666666666665,25.994844360629152
20,SAMPL8-23,0.16083333333325903,1.4541666666666613,1.9661595391354398
