,Molecule ID,Mean Error,Mean Absolute Error,Root Mean Squared Error
0,SAMPL8-1,0.7749999999999303,1.666666666666653,1.666666666666653
1,SAMPL8-2,1.7899999999999234,2.5966666666666334,2.5966666666666334
2,SAMPL8-3,1.0666666666665954,1.6333333333333055,1.6333333333333055
3,SAMPL8-4,-0.6366666666667372,2.656666666666681,2.656666666666681
4,SAMPL8-5,0.6966666666665967,1.27666666666664,1.27666666666664
5,SAMPL8-8,0.08666666666660339,1.7666666666666597,1.7666666666666597
6,SAMPL8-10,-0.7433333333334108,1.4366666666666885,1.4366666666666885
7,SAMPL8-14,3.246666666666577,3.246666666666577,3.246666666666577
8,SAMPL8-15,0.5933333333332701,1.9333333333333265,1.9333333333333265
9,SAMPL8-16,0.09999999999992919,1.600000000000018,1.600000000000018
10,SAMPL8-17,5.269999999999906,6.0633333333332615,6.0633333333332615
11,SAMPL8-20,-4.190000000000063,5.293333333333372,5.293333333333371
12,SAMPL8-21,4.753333333333245,4.753333333333245,4.753333333333245
13,SAMPL8-22,9.606666666666586,9.606666666666586,9.606666666666586
