,Submission,R-squared,Slope,Kendall Tau
0,pKa-3DS-1,0.7834943477469948,1.0137866774745936,0.6083798799280435
1,pKa-RobertRaddi_AdaBoost,-0.12375362743146529,-0.4796596218139512,0.01922366120271981
2,pKa-3DS-2,0.7536231507883856,1.1538261805405876,0.5839454948814495
3,pKa-3DS-3,0.7552485515279517,0.9351327184830505,0.5865219201701498
4,pKa_SabatinoRodriguezPaluch_uESE,0.06877969576035531,0.25638492627944426,0.2647219842825437
5,pKa-RobertRaddi_DeepGP,-0.08788518642814273,-0.3313112236340298,0.07705141285294194
6,pKa-ZhiyiWu-1,-0.03426186958205091,-0.12317996696736858,0.21404545767263877
7,pKa-RobertRaddi_RF,-0.1097766476200591,-0.4305255197088526,0.053717180837367706
8,PKA_ECRISM,0.8477227975324197,1.1469468690328275,0.6423400443695945
9,pKa-RobertRaddi_XGBoost,-0.09803523697127486,-0.3839730247422404,0.06139106381413451
10,pKa_Chemaxon,0.35923113141641155,0.5185269857035623,0.615401130013483
11,pKa_SabatinoRodriguezPaluch_uESE_extra,0.6422746474157303,1.6417529142315437,0.5236363636363636
