ID,RMSE,RMSE_lower_bound,RMSE_upper_bound,MAE,MAE_lower_bound,MAE_upper_bound,ME,ME_lower_bound,ME_upper_bound
TEMOA-G1,1.3578383556226419,0.8587434503967566,3.3569887312785545,1.0675,0.6700000137361122,2.8839433835520722,-0.8749999999999999,-2.513916515531887,0.7620231543819109
TEMOA-G5,1.5570003211303458,1.0420437949942474,3.5551886387969343,1.435,0.8472610001687614,3.044892099975148,-0.8074999999999998,-2.26279968240379,1.2090520942890068
TEETOA-G5,1.9872248237177392,0.9527084317742412,3.3829184083383765,1.5162499999999999,0.724782552324333,2.889797951973042,0.78125,-0.722220033878462,2.382353362567976
TEETOA-G2,2.197618028684694,1.264041895171024,3.5887971783421966,1.8250000000000002,1.0046580789837714,3.2162875193853715,0.012499999999999845,-1.8733210053910994,1.8487221900766468
TEETOA-G1,2.1943336118284296,1.2676026911159917,3.383682448965984,1.8324999999999998,0.9744860786584937,3.0841746976497397,0.11499999999999988,-1.6529571954316675,1.84509432674952
CB8-G5,2.665670647323108,1.6065630324656925,6.314220272900113,2.212,1.2420628135346106,4.638353699482115,0.776,-1.5502276698560429,3.4645201974563316
CB8-G2,2.9532812260264003,1.8562658124646083,5.988305400893859,2.457,1.4776883364422084,4.772453882528239,-1.3969999999999996,-3.6336778431243637,1.2702538235665757
TEMOA-G2,3.1358053192122752,1.956164389595773,4.895912878002396,2.645,1.4928160484819133,4.497562837087651,-1.9875000000000003,-4.026043516931002,0.48004955871301314
TEMOA-G4,4.585222186546689,1.3282172886401342,7.258503560623688,2.87125,1.0918375831520462,6.023554015303408,-2.32375,-5.49280538664962,0.6382331315390706
TEETOA-G4,4.158088503146608,1.955255608961787,6.150127097668981,3.3975,1.70206529183918,5.371146245463606,-1.3324999999999996,-4.3151287618850045,1.3970598267393421
CB8-G1,4.146430995446566,2.759173827427125,7.680284439260889,3.7010000000000005,2.2762745813902265,6.187627189716099,3.6350000000000002,1.6373041468264322,6.09473870073187
CB8-G3,4.836355032459879,2.8592836206336387,8.576606642904457,4.212999999999999,2.4884705594651506,6.8284171253438135,3.755,1.3565655578342621,6.588963100537393
CB8-G7,5.303060437143819,3.2814804662337806,8.660209380814917,4.339,2.388358783856687,7.220233500127217,3.817,1.0054156917640742,6.884879463276009
CB8-G6,4.761989080205876,3.4904938858274472,7.180235144453252,4.35,3.075864782975156,6.514245531557547,0.8300000000000001,-2.6026128269028734,4.218741903319537
CB8-G4,5.595381130897161,3.7493855135662573,9.004341382993037,4.9750000000000005,3.1556656983021627,7.617540601677017,4.471,1.8039623479963125,7.393958179410356
