,Submission,R-squared,Slope,Kendall Tau
0,pKa-RobertRaddi_AdaBoost_modified,0.028054209856280758,0.07247600896071575,0.026913125683807732
1,pKa_SabatinoRodriguezPaluch_uESE_modified,0.3327878271353745,0.8085205570541114,0.2647219842825437
2,pKa-ZhiyiWu-1_modified,0.18796753796762397,0.42895566380729855,0.21404545767263877
3,pKa-3DS-1_modified,0.7834943477469948,1.0137866774745936,0.6083798799280435
4,PKA_ECRISM_modified,0.8477227975324197,1.1469468690328275,0.6423400443695945
5,pKa-RobertRaddi_XGBoost_modified,0.0628590723639406,0.16816260603242666,0.06906494679090133
6,pKa_SabatinoRodriguezPaluch_uESE_extra_modified,0.6422746474157303,1.6417529142315437,0.5236363636363636
7,pKa_Chemaxon_modified,0.35923113141641155,0.5185269857035623,0.615401130013483
8,pKa-3DS-3_modified,0.7552485515279517,0.9351327184830505,0.5865219201701498
9,pKa-3DS-2_modified,0.7536231507883856,1.1538261805405876,0.5839454948814495
10,pKa-RobertRaddi_DeepGP_modified,0.09470333298369421,0.22082440714063742,0.07705141285294194
11,pKa-RobertRaddi_RF_modified,0.04511862659071631,0.1216101110658148,0.06139106381413451
